name,latitude_deg,longitude_deg,icao_code
Zhaotong Zhaoyang Airport （Not fully opened),27.205843,103.691511,ZPZT
Bengbu Tenghu Airport,33.166292,117.058344,ZSBA
[Duplicate] Beijing Xijiao Airport,39.958592,116.256765,ZBXJ
Hancheng Heyang Airport,35.329133,110.3829,
Sanshilipu Air Base,39.289671,121.762195,
Brampton-Caledon Airport,43.7603,-79.875,
[Duplicate] Holguín Air Base,20.786418,-76.318513,
Fort Frances Municipal Airport,48.655749,-93.44349,CYAG
La Grande-4 Airport,53.75469971,-73.6753006,CYAH
Sault Ste Marie Airport,46.483216,-84.508467,CYAM
Kasabonika Airport,53.52470016,-88.64279938,CYAQ
Winnipeg / St. Andrews Airport,50.0564,-97.032501,CYAV
Lac du Bonnet Airport,50.294399,-96.010002,CYAX
St. Anthony Airport,51.391909,-56.08321,CYAY
Tofino / Long Beach Airport,49.079833,-125.775583,CYAZ
Baie-Comeau Airport,49.1325,-68.204399,CYBC
Bella Coola Airport,52.387501,-126.596001,CYBD
Bonnyville Airport,54.304199,-110.744003,CYBF
Saguenay-Bagotville Airport,48.330123,-70.992012,CYBG
Baker Lake Airport,64.29889679,-96.07779694,CYBK
Campbell River Airport,49.950802,-125.271004,CYBL
Brandon Municipal Airport,49.91,-99.951897,CYBR
Nipawin Airport,53.33250046,-104.0080032,
Calgary / Springbank Airport,51.103982,-114.369378,
Lourdes-de-Blanc-Sablon Airport,51.4436,-57.185299,CYBX
Cambridge Bay Airport,69.10810089,-105.1380005,CYCB
Cornwall Regional Airport,45.092637,-74.567724,CYCC
Nanaimo Airport,49.05497,-123.869863,CYCD
Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,CYCE
Castlegar/West Kootenay Regional Airport,49.296398,-117.632004,CYCG
Miramichi Airport,47.007801,-65.449203,CYCH
Charlo Airport,47.990799,-66.330299,CYCL
Cochrane Airport,49.10559845,-81.01360321,CYCN
Blue River Airport,52.11669922,-119.2829971,
Chetwynd Airport,55.68719864,-121.6269989,CYCQ
Dawson City Airport,64.04309845,-139.128006,CYDA
Burwash Airport,61.371101,-139.041,CYDB
Deer Lake Airport,49.208159,-57.396147,CYDF
Ross River Airport,61.97060013,-132.4230042,CYDM
Dauphin Barker Airport,51.1008,-100.052002,CYDN
Dolbeau-Saint-Felicien Airport,48.7785,-72.375,CYDO
Dawson Creek Airport,55.741245,-120.183263,CYDQ
Huronia Airport,44.68330002,-79.92829895,
Edmonton International Airport,53.3097,-113.580002,CYEG
Elliot Lake Municipal Airport,46.35139847,-82.56140137,CYEL
Manitoulin East Municipal Airport,45.842435,-81.857595,CYEM
Estevan Airport,49.21030045,-102.9660034,CYEN
Edson Airport,53.57889938,-116.4649963,CYET
Inuvik Mike Zubko Airport,68.30419922,-133.4830017,CYEV
Amos/Magny Airport,48.563903,-78.249702,CYEY
Iqaluit Airport,63.756402,-68.555801,CYFB
Fredericton International Airport,45.868697,-66.529891,CYFC
Brantford Municipal Airport,43.131401,-80.342499,
Forestville Airport,48.74610138,-69.09719849,CYFE
Mont-Tremblant International Airport,46.409401,-74.779999,CYFJ
Fort Resolution Airport,61.18080139,-113.6900024,CYFR
Fort Simpson Airport,61.7602005,-121.2369995,CYFS
Goderich Airport,43.76689911,-81.71060181,
Golden Airport,51.299196,-116.982002,
Kingston Norman Rogers Airport,44.2253,-76.596901,CYGK
La Grande Rivière Airport,53.62530136,-77.70420074,CYGL
Gimli Industrial Park Airport,50.62810135,-97.04329681,CYGM
Michel-Pouliot Gaspé Airport,48.774915,-64.481893,CYGP
Geraldton Greenstone Regional Airport,49.77830124,-86.93939972,CYGQ
Îles-de-la-Madeleine Airport,47.425242,-61.778612,CYGR
Havre-Saint-Pierre Airport,50.281898,-63.611401,CYGV
Kuujjuarapik Airport,55.2818985,-77.76529694,CYGW
Dryden Regional Airport,49.831699,-92.744202,CYHD
Hearst René Fontaine Municipal Airport,49.71419907,-83.68609619,CYHF
John C. Munro Hamilton International Airport,43.17348,-79.931185,CYHM
Hornepayne Municipal Airport,49.19309998,-84.7589035,CYHN
Haines Junction Airport,60.7892,-137.546005,CYHT
Montréal / Saint-Hubert Metropolitan Airport,45.517502,-73.416901,CYHU
Hay River / Merlyn Carter Airport,60.83969879,-115.7829971,CYHY
Halifax / Stanfield International Airport,44.88079834,-63.50859833,CYHZ
Atikokan Municipal Airport,48.773899,-91.638603,CYIB
Digby / Annapolis Regional Airport,44.54584504,-65.78542471,CYID
St Augustin Airport,51.2117,-58.658298,CYIF
Island Lake Airport,53.85720062,-94.6536026,CYIV
Fort Liard Airport,60.2358017,-123.4690018,CYJF
St Jean Airport,45.29439926,-73.28109741,CYJN
Stephenville Dymond International Airport,48.54339,-58.552892,CYJT
Kamloops John Moose Fulton Field Regional Airport,50.703038,-120.448641,CYKA
Region of Waterloo International Airport,43.4608,-80.378601,CYKF
Key Lake Airport,57.2560997,-105.6179962,CYKJ
Schefferville Airport,54.80530167,-66.80529785,CYKL
Kincardine Municipal Airport,44.201401,-81.606697,CYKM
Kirkland Lake Airport,48.21030045,-79.98139954,CYKX
Kindersley Airport,51.51750183,-109.1809998,CYKY
Chapleau Airport,47.81999969,-83.34670258,CYLD
Meadow Lake Airport,54.12530136,-108.5230026,CYLJ
Lloydminster Airport,53.3092,-110.072998,CYLL
Leaf Rapids Airport,56.51330185,-99.98529816,CYLR
Barrie-Lake Simcoe Regional Airport,44.485056,-79.554663,CYLS
Alert Airport,82.517263,-62.283037,CYLT
Kelowna International Airport,49.9561,-119.377998,CYLW
Mayo Airport,63.61640167,-135.8679962,CYMA
Matane Airport,48.85689926,-67.45330048,CYME
Manitouwadge Airport,49.08390045,-85.86060333,CYMG
Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.33029938,-105.5589981,CYMJ
Charlevoix Airport,47.59749985,-70.22389984,CYML
Fort McMurray International Airport,56.653301,-111.222,CYMM
Moosonee Airport,51.29109955,-80.60780334,CYMO
Chapais Airport,49.77190018,-74.52809906,CYMT
Montreal Mirabel International Airport,45.679501,-74.038696,CYMX
Natashquan Airport,50.190114,-61.78898,CYNA
Ottawa / Gatineau Airport,45.521702,-75.563599,CYND
Langley Airport,49.1008,-122.630997,CYNJ
Points North Landing Airport,58.27669907,-104.0820007,CYNL
Matagami Airport,49.76169968,-77.80280304,CYNM
Nejanilini Lake Airport,59.48749924,-97.78029633,
Ekati Airport,64.69889832,-110.6149979,CYOA
CFB Cold Lake,54.40499878,-110.2789993,CYOD
High Level Airport,58.62139893,-117.1650009,CYOJ
Oshawa Executive Airport,43.922798,-78.894997,CYOO
Rainbow Lake Airport,58.491402,-119.407997,CYOP
Owen Sound / Billy Bishop Regional Airport,44.59030151,-80.83750153,CYOS
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,CYOW
Prince Albert Glass Field,53.21419907,-105.6729965,CYPA
Port Hawkesbury Airport,45.65670013,-61.36809921,CYPD
Peace River Airport,56.226898,-117.446999,CYPE
Portage-la-Prairie / Southport Airport,49.903099,-98.273817,CYPG
Pitt Meadows Regional Airport,49.21488,-122.709294,CYPK
Pickle Lake Airport,51.44639969,-90.21420288,CYPL
